Monitoring CPU usage of iperf3   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
3094947  19   0.03 iperf3 -s
3094947  24   3.32 iperf3 -s
3094947  25   1.25 iperf3 -s
3094947  26   1.17 iperf3 -s
3094947  27   0.19 iperf3 -s
3094947  38   8.28 iperf3 -s
3094947  39   0.85 iperf3 -s
3094947 sum  27.19 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.01 iperf3 -s
3094947   5   1.83 iperf3 -s
3094947   6   6.61 iperf3 -s
3094947   7   0.36 iperf3 -s
3094947  24   1.80 iperf3 -s
3094947  25   1.22 iperf3 -s
3094947  26   1.09 iperf3 -s
3094947  38  13.94 iperf3 -s
3094947 sum  26.86 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   1.47 iperf3 -s
3094947   5   0.00 iperf3 -s
3094947   6   0.52 iperf3 -s
3094947   7   1.54 iperf3 -s
3094947  18   1.67 iperf3 -s
3094947  19   2.63 iperf3 -s
3094947  24   0.79 iperf3 -s
3094947  25   4.59 iperf3 -s
3094947  26   0.18 iperf3 -s
3094947  27  12.89 iperf3 -s
3094947  38   0.64 iperf3 -s
3094947 sum  26.92 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4  10.28 iperf3 -s
3094947   5   0.81 iperf3 -s
3094947   6   0.10 iperf3 -s
3094947   7   0.19 iperf3 -s
3094947  18   0.02 iperf3 -s
3094947  26   9.84 iperf3 -s
3094947  27   2.24 iperf3 -s
3094947  38   1.78 iperf3 -s
3094947  39   1.47 iperf3 -s
3094947 sum  26.73 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   7   2.12 iperf3 -s
3094947  18   2.23 iperf3 -s
3094947  19  21.83 iperf3 -s
3094947  24   0.59 iperf3 -s
3094947  25   0.40 iperf3 -s
3094947  26   0.28 iperf3 -s
3094947  27   0.10 iperf3 -s
3094947  38   0.19 iperf3 -s
3094947 sum  27.74 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.45 iperf3 -s
3094947   5   0.69 iperf3 -s
3094947   6   0.87 iperf3 -s
3094947   7   4.46 iperf3 -s
3094947  18   0.72 iperf3 -s
3094947  19   3.26 iperf3 -s
3094947  24   2.77 iperf3 -s
3094947  25   8.12 iperf3 -s
3094947  26   4.58 iperf3 -s
3094947  27   1.20 iperf3 -s
3094947  38   0.53 iperf3 -s
3094947  39   0.33 iperf3 -s
3094947 sum  27.98 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.11 iperf3 -s
3094947   5   0.15 iperf3 -s
3094947   7   0.92 iperf3 -s
3094947  18   0.01 iperf3 -s
3094947  19   2.21 iperf3 -s
3094947  24   0.01 iperf3 -s
3094947  25   0.64 iperf3 -s
3094947  26  19.65 iperf3 -s
3094947  27   0.18 iperf3 -s
3094947  38   1.11 iperf3 -s
3094947  39   2.43 iperf3 -s
3094947 sum  27.42 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4  21.46 iperf3 -s
3094947   5   3.09 iperf3 -s
3094947   6   0.19 iperf3 -s
3094947   7   0.16 iperf3 -s
3094947  25   1.55 iperf3 -s
3094947  27   0.02 iperf3 -s
3094947  39   0.76 iperf3 -s
3094947 sum  27.23 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.30 iperf3 -s
3094947   5   1.98 iperf3 -s
3094947   6   3.94 iperf3 -s
3094947   7   2.27 iperf3 -s
3094947  18   8.03 iperf3 -s
3094947  19   2.02 iperf3 -s
3094947  24   0.10 iperf3 -s
3094947  25   3.16 iperf3 -s
3094947  26   3.52 iperf3 -s
3094947  27   0.38 iperf3 -s
3094947  38   0.93 iperf3 -s
3094947  39   0.58 iperf3 -s
3094947 sum  27.21 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   5   0.92 iperf3 -s
3094947   7   5.77 iperf3 -s
3094947  18   1.26 iperf3 -s
3094947  19   1.25 iperf3 -s
3094947  24  13.09 iperf3 -s
3094947  25   3.88 iperf3 -s
3094947  26   0.36 iperf3 -s
3094947  27   0.11 iperf3 -s
3094947  38   0.00 iperf3 -s
3094947  39   0.36 iperf3 -s
3094947 sum  27.00 iperf3 -s
   PID CPU    PCT CMDLINE
