Monitoring CPU usage of iperf3   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
900952  38   0.80 iperf3 -s
900952  39   0.39 iperf3 -s
900952 sum  25.90 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   4.94 iperf3 -s
900952  26  12.70 iperf3 -s
900952  27   2.88 iperf3 -s
900952  38   5.43 iperf3 -s
900952  39   0.24 iperf3 -s
900952 sum  26.19 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   4.15 iperf3 -s
900952   5   0.60 iperf3 -s
900952   6   6.67 iperf3 -s
900952   7   0.15 iperf3 -s
900952  18   4.09 iperf3 -s
900952  19   7.98 iperf3 -s
900952  24   0.11 iperf3 -s
900952  25   0.01 iperf3 -s
900952  26   0.09 iperf3 -s
900952  27   1.26 iperf3 -s
900952  38   0.55 iperf3 -s
900952  39   3.43 iperf3 -s
900952 sum  29.09 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.89 iperf3 -s
900952   5   1.86 iperf3 -s
900952   6   8.67 iperf3 -s
900952   7   1.45 iperf3 -s
900952  18   0.39 iperf3 -s
900952  19   3.39 iperf3 -s
900952  24   1.02 iperf3 -s
900952  25   0.32 iperf3 -s
900952  26   0.20 iperf3 -s
900952  27   1.40 iperf3 -s
900952  38   1.59 iperf3 -s
900952  39   8.54 iperf3 -s
900952 sum  29.72 iperf3 -s
   PID CPU    PCT CMDLINE
900952   5   0.44 iperf3 -s
900952   6   0.90 iperf3 -s
900952   7   0.30 iperf3 -s
900952  18   5.22 iperf3 -s
900952  19   0.83 iperf3 -s
900952  24   2.13 iperf3 -s
900952  26   0.21 iperf3 -s
900952  27   0.01 iperf3 -s
900952  38   0.07 iperf3 -s
900952  39  16.66 iperf3 -s
900952 sum  26.77 iperf3 -s
   PID CPU    PCT CMDLINE
900952   7   1.28 iperf3 -s
